Kanzlei-Rechnungswesen mbH - Summen- und Saldenliste - SUSA Jahresübersicht Dezember;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Konto;Beschriftung;EB-Wert;S;H;Jan/2016;S;H;Feb/2016;S;H;Mrz/2016;S;H;Apr/2016;S;H;Mai/2016;S;H;Jun/2016;S;H;Jul/2016;S;H;Aug/2016;S;H;Sep/2016;S;H;Okt/2016;S;H;Nov/2016;S;H;Dez/2016;S;H;Gesamtsaldo;S;H
420 00;Account 420 00;;;;6.145.267,07;S;;603.315,33;S;;2.913.813,21;S;;4.350.971,54;S;;1.380.472,15;S;;1.271.702,57;S;;1.632.696,87;S;;1.818.621,88;S;;1.275.263,17;S;;1.400.263,62;S;;1.926.546,57;S;;1.740.131,07;S;;26.459.065,05;S;
780 00;Account 780 00;;;;;;;61.200,00;S;;61.200,00;;H;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
1200 00;Account 1200 00;;;;393,53;;H;31.438,92;S;;45.273,43;S;;19.069,33;;H;4.269,18;S;;10.903,73;;H;6.842,36;S;;4.255,72;;H;32.726,22;S;;17.130,35;S;;33.694,96;S;;10.191,43;;H;126.561,68;S;
1210 00;Account 1210 00;;;;324;S;;310;S;;634;;H;2.160,00;S;;396;S;;2.556,00;;H;0;;;0;;;0;;;2.752,00;S;;1.308,00;;H;3.348,00;S;;4.792,00;S;
1261 00;Account 1261 00;4.122,18;S;;;;;;;;;;;;;;;;;;;;7.567,29;;H;;;;;;;594,93;S;;30.000,00;S;;8.034,48;;H;19.115,34;S;
1262 00;Account 1262 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;942.940,00;S;;20.480,00;S;;3.377.200,22;;H;2.413.780,22;;H
1301 00;Account 1301 00;26.688,93;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15.500,00;;H;11.188,93;S;
1302 00;Account 1302 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29.500,00;S;;;;;;;;29.500,00;S;
1400 00;Account 1400 00;;;;427,5;S;;;;;;;;;;;;;;;;;5.733,73;S;;;;;;;;;;;;;;;;;6.161,23;S;
1406 00;Account 1406 00;;;;856,57;S;;2.115,94;S;;6.637,61;S;;18.901,03;S;;1.814,50;S;;6.127,50;S;;10.307,50;S;;4.345,86;S;;47.813,34;S;;808,84;S;;10.759,91;S;;15.365,95;S;;125.854,55;S;
1407 00;Account 1407 00;;;;6.201,47;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.201,47;S;
1434 00;Account 1434 00;33,73;S;;;;;;;;;;;;;;;;;;;;33,73;;H;;;;;;;;;;;;;3.842,94;S;;3.842,94;S;
1460 00;Account 1460 00;;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;
1800 00;Account 1800 00;4.161,26;S;;70,21;S;;74,95;S;;179;;H;424,83;S;;424,83;;H;56,15;;H;0;;;0;;;68,7;;H;1,65;;H;0;;;1,16;;H;3.999,76;S;
1810 00;Account 1810 00;13,72;;H;19.778,50;S;;12.619,87;;H;6.998,35;S;;26.644,73;S;;35.664,64;S;;40.780,65;S;;89.254,92;;H;29.095,24;S;;27.538,89;S;;1.809,63;S;;15.153,75;;H;24.117,46;S;;95.385,83;S;
1820 00;Account 1820 00;524.653,98;S;;226.049,67;;H;472.094,41;S;;519.687,61;S;;781.531,99;;H;192.991,96;S;;627.703,35;S;;648.378,69;;H;358.376,68;S;;981.076,77;;H;662.697,65;S;;294.234,88;;H;504.525,71;S;;931.459,35;S;
1830 00;Account 1830 00;59.998,53;S;;;;;19.241,47;S;;12.935,60;S;;14.399,40;S;;15.045,00;S;;16.412,50;S;;32.942,50;S;;4.180,00;S;;21.427,50;S;;29.077,50;S;;26.405,00;S;;28.859,05;S;;280.924,05;S;
1840 00;Account 1840 00;1,08;;H;47.238,80;S;;37.029,06;;H;2.138,48;S;;1.133,20;;H;166,2;;H;1.298,06;S;;783,21;;H;1.908,21;S;;3.754,57;;H;52,12;S;;1.584,18;S;;11.968,96;S;;23.321,49;S;
